exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,
8,0,6,31,71,0,8946.938971,14195.40152,231.805,231.805,20,50
8,0,6,33,5,0,7886.740098,9202.770463,48.4462,48.4462,20,50
8,0,6,54,30,1,14039.95209,195.1263266,85.76,131.2534,20,50
8,0,6,10,61,0,8738.092755,718.3803033,148.9978,148.9978,20,50
9,0,8,38,34,1,10329.00195,165.0450472,23.986,45.4888,20,50
9,0,8,4,2,1,983,163.9252686,4.489,18.8722,20,50
9,0,8,12,10,0,7503.281549,1549.151836,36.6166,36.6166,20,50
9,0,8,62,55,1,8287.002441,182.3721369,16.147,39.574,20,50
9,0,8,43,47,1,7482,177.1093575,14.405,36.6166,20,50
9,0,8,64,66,1,4218.001953,168.5305236,9.581,24.787,20,50
9,0,8,78,76,1,4121,189.4912511,9.715,30.7018,20,50
9,0,8,59,57,1,2988.001953,166.6611344,6.164,21.8296,20,50
9,0,8,61,18,1,11579,169.9741017,22.981,54.361,20,50
9,0,8,35,39,1,1559,196.1149938,6.164,15.9148,20,50
10,0,8,37,76,1,5890.084238,197.1332849,18.693,39.574,20,50
10,0,8,8,24,1,5798.451724,195.8198465,16.549,36.6166,20,50
10,0,8,60,69,0,11052.70029,9699.702577,63.2332,63.2332,20,50
10,0,8,38,10,1,13017.30293,175.9341923,31.356,63.2332,20,50
10,0,8,21,1,1,5547.246278,192.6616415,14.874,39.574,20,50
10,0,8,58,71,1,14392.71202,181.6836811,37.788,78.0202,20,50
10,0,8,74,32,1,3986.474758,199.4314855,11.658,33.6592,20,50
10,0,8,44,0,1,5966.615201,177.1255668,17.152,39.574,20,50
10,0,8,71,16,1,3635.097228,192.9116016,10.653,33.6592,20,50
10,0,8,14,24,1,9243.393276,187.227115,28.207,51.4036,20,50
11,0,8,19,66,1,13725.40311,176.1581949,128.573,225.8902,20,50
11,0,8,79,14,0,14827.70464,10549.70937,181.5292,181.5292,20,50
11,0,8,19,57,1,8244.995678,190.4849493,140.566,264.3364,20,50
11,0,8,23,1,1,9135.900163,181.9565122,22.847,54.361,20,50
11,0,8,53,76,1,5457.223094,173.3840013,124.218,137.1682,20,50
11,0,8,42,13,1,5522.653478,183.424801,81.941,95.7646,20,50
