exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,,,,
0,0,1,36,40,1,7132,184.2766514,13.869,36.6166,100,150,1,0.1,5
0,0,1,39,35,1,7132,144.1352649,10.586,36.6166,100,150,1,0.1,5
0,0,1,110,114,1,6265.005108,173.3735516,12.462,30.7018,100,150,1,0.1,5
0,0,1,7,3,1,4638,190.751134,9.782,24.787,100,150,1,0.1,5
0,0,1,0,4,1,5477.061712,173.6763778,10.72,27.7444,100,150,1,0.1,5
1,0,1,138,17,0,10208.35972,3533.434598,57.3184,57.3184,100,150,1,0.1,5
1,0,1,47,16,1,4750.866533,193.0322301,12.998,36.6166,100,150,1,0.1,5
1,0,1,26,9,1,7034.791722,192.4206721,18.023,42.5314,100,150,1,0.1,5
1,0,1,42,49,1,6391.949464,183.545687,14.003,36.6166,100,150,1,0.1,5
1,0,1,140,124,1,5823.768282,172.6290032,14.472,36.6166,100,150,1,0.1,5
2,0,1,105,29,1,28044.94571,195.7571417,183.58,335.314,100,150,1,0.1,5
2,0,1,27,130,1,17494.69134,170.8706467,159.996,243.6346,100,150,1,0.1,5
2,0,1,102,87,1,39180.74011,175.8862357,149.343,364.888,100,150,1,0.1,5
2,0,1,132,27,1,21656.7027,189.9265122,190.414,364.888,100,150,1,0.1,5
2,0,1,24,44,1,13482.32708,196.2815037,44.756,75.0628,100,150,1,0.1,5
3,0,3,36,40,1,7132,197.6017174,14.673,36.6166,100,150,1,0.1,5
3,0,3,39,35,1,7132,159.9571097,10.854,36.6166,100,150,1,0.1,5
3,0,3,110,114,1,6265.005108,181.2969221,12.261,30.7018,100,150,1,0.1,5
3,0,3,7,3,1,4638,199.848384,9.447,24.787,100,150,1,0.1,5
3,0,3,0,4,1,5477.061712,169.6555698,11.725,27.7444,100,150,1,0.1,5
4,0,3,138,17,1,10208.35972,169.600156,25.795,57.3184,100,150,1,0.1,5
4,0,3,47,16,0,4750.866533,11332.75424,36.6166,36.6166,100,150,1,0.1,5
4,0,3,26,9,1,7034.791722,199.4901578,20.636,42.5314,100,150,1,0.1,5
4,0,3,42,49,1,6391.949464,193.7365163,14.673,36.6166,100,150,1,0.1,5
4,0,3,140,124,1,5823.768282,186.0984435,14.338,36.6166,100,150,1,0.1,5
5,0,3,105,29,0,28044.94571,12817.7868,335.314,335.314,100,150,1,0.1,5
5,0,3,27,130,1,17494.69134,194.2111185,153.832,243.6346,100,150,1,0.1,5
5,0,3,102,87,1,39180.74011,152.7905223,156.981,364.888,100,150,1,0.1,5
5,0,3,132,27,1,21656.7027,191.8969594,193.898,364.888,100,150,1,0.1,5
5,0,3,24,44,0,13482.32708,7400.000236,75.0628,75.0628,100,150,1,0.1,5
6,0,6,36,40,1,7132,180.6091172,13.802,36.6166,100,150,1,0.1,5
6,0,6,39,35,1,7132,166.531672,12.261,36.6166,100,150,1,0.1,5
6,0,6,110,114,1,6265.005108,184.8180916,12.328,30.7018,100,150,1,0.1,5
6,0,6,7,3,1,4638,176.9604816,9.648,24.787,100,150,1,0.1,5
6,0,6,0,4,1,5477.061712,158.3220677,11.189,27.7444,100,150,1,0.1,5
7,0,6,138,17,1,10208.35972,182.9563012,25.46,57.3184,100,150,1,0.1,5
7,0,6,47,16,0,4750.866533,6542.085975,36.6166,36.6166,100,150,1,0.1,5
7,0,6,26,9,1,7034.791722,188.2375774,20.904,42.5314,100,150,1,0.1,5
7,0,6,42,49,1,6391.949464,193.95079,15.008,36.6166,100,150,1,0.1,5
7,0,6,140,124,1,5823.768282,192.4991953,14.271,36.6166,100,150,1,0.1,5
8,0,6,105,29,1,28044.94571,193.9153907,186.93,335.314,100,150,1,0.1,5
8,0,6,27,130,0,17494.69134,28557.17551,243.6346,243.6346,100,150,1,0.1,5
8,0,6,102,87,1,39180.74011,191.0523397,150.616,364.888,100,150,1,0.1,5
8,0,6,132,27,0,21656.7027,8798.78605,364.888,364.888,100,150,1,0.1,5
8,0,6,24,44,1,13482.32708,163.8995305,41.339,75.0628,100,150,1,0.1,5
9,0,8,36,40,1,7132,176.1717626,13.668,36.6166,100,150,1,0.1,5
9,0,8,39,35,1,7132,190.5544432,10.653,36.6166,100,150,1,0.1,5
9,0,8,110,114,1,6265.005108,190.1379668,13.065,30.7018,100,150,1,0.1,5
9,0,8,7,3,1,4638,160.5874275,9.38,24.787,100,150,1,0.1,5
9,0,8,0,4,1,5477.061712,166.028678,10.787,27.7444,100,150,1,0.1,5
10,0,8,138,17,1,10208.35972,195.5467748,25.259,57.3184,100,150,1,0.1,5
10,0,8,47,16,1,4750.866533,175.5762962,12.328,36.6166,100,150,1,0.1,5
10,0,8,26,9,1,7034.791722,195.7736259,18.224,42.5314,100,150,1,0.1,5
10,0,8,42,49,1,6391.949464,199.1108695,15.477,36.6166,100,150,1,0.1,5
10,0,8,140,124,1,5823.768282,165.0013739,15.41,36.6166,100,150,1,0.1,5
11,0,8,105,29,0,28044.94571,7657.811882,335.314,335.314,100,150,1,0.1,5
11,0,8,27,130,0,17494.69134,11586.0038,243.6346,243.6346,100,150,1,0.1,5
11,0,8,102,87,1,39180.74011,161.1335085,141.035,364.888,100,150,1,0.1,5
11,0,8,132,27,0,21656.7027,5640.369774,364.888,364.888,100,150,1,0.1,5
11,0,8,24,44,1,13482.32708,190.0291839,40.334,75.0628,100,150,1,0.1,5
0,0,1,36,40,1,7132,181.0757195,13.601,36.6166,100,150,1,0.1,10
0,0,1,39,35,1,7132,138.2806623,10.586,36.6166,100,150,1,0.1,10
0,0,1,110,114,1,6265.005108,185.8155879,12.328,30.7018,100,150,1,0.1,10
0,0,1,7,3,1,4638,192.033183,9.581,24.787,100,150,1,0.1,10
0,0,1,0,4,1,5477.061712,177.4738267,12.127,27.7444,100,150,1,0.1,10
1,0,1,138,17,0,10208.35972,2238.980604,57.3184,57.3184,100,150,1,0.1,10
1,0,1,47,16,1,4750.866533,176.7999778,14.941,36.6166,100,150,1,0.1,10
1,0,1,26,9,1,7034.791722,192.7686374,21.038,42.5314,100,150,1,0.1,10
1,0,1,42,49,0,6391.949464,4734.07144,36.6166,36.6166,100,150,1,0.1,10
1,0,1,140,124,0,5823.768282,3943.61619,36.6166,36.6166,100,150,1,0.1,10
2,0,1,105,29,1,28044.94571,198.930069,188.605,335.314,100,150,1,0.1,10
2,0,1,27,130,0,17494.69134,5898.75829,243.6346,243.6346,100,150,1,0.1,10
2,0,1,102,87,1,39180.74011,165.2444596,154.569,364.888,100,150,1,0.1,10
2,0,1,132,27,0,21656.7027,28446.67763,364.888,364.888,100,150,1,0.1,10
2,0,1,24,44,1,13482.32708,188.2017894,42.076,75.0628,100,150,1,0.1,10
3,0,3,36,40,1,7132,169.5947655,12.998,36.6166,100,150,1,0.1,10
3,0,3,39,35,1,7132,199.733131,10.787,36.6166,100,150,1,0.1,10
3,0,3,110,114,1,6265.005108,167.0722152,11.993,30.7018,100,150,1,0.1,10
3,0,3,7,3,1,4638,183.8355276,9.514,24.787,100,150,1,0.1,10
3,0,3,0,4,1,5477.061712,150.0435692,11.122,27.7444,100,150,1,0.1,10
4,0,3,138,17,1,10208.35972,194.9958293,26.733,57.3184,100,150,1,0.1,10
4,0,3,47,16,1,4750.866533,176.2184314,13.936,36.6166,100,150,1,0.1,10
4,0,3,26,9,1,7034.791722,196.949664,20.301,42.5314,100,150,1,0.1,10
4,0,3,42,49,1,6391.949464,178.554215,14.405,36.6166,100,150,1,0.1,10
4,0,3,140,124,1,5823.768282,177.5391188,15.544,36.6166,100,150,1,0.1,10
5,0,3,105,29,0,28044.94571,12718.41985,335.314,335.314,100,150,1,0.1,10
5,0,3,27,130,0,17494.69134,15050.41026,243.6346,243.6346,100,150,1,0.1,10
5,0,3,102,87,1,39180.74011,168.6180965,151.956,364.888,100,150,1,0.1,10
5,0,3,132,27,0,21656.7027,6685.225214,364.888,364.888,100,150,1,0.1,10
5,0,3,24,44,1,13482.32708,180.943672,44.622,75.0628,100,150,1,0.1,10
6,0,6,36,40,1,7132,170.952003,12.395,36.6166,100,150,1,0.1,10
6,0,6,39,35,1,7132,147.6856535,11.792,36.6166,100,150,1,0.1,10
6,0,6,110,114,1,6265.005108,163.5024296,13.467,30.7018,100,150,1,0.1,10
6,0,6,7,3,1,4638,188.7268694,8.308,24.787,100,150,1,0.1,10
6,0,6,0,4,1,5477.061712,196.5241879,10.921,27.7444,100,150,1,0.1,10
7,0,6,138,17,0,10208.35972,917.5213703,57.3184,57.3184,100,150,1,0.1,10
7,0,6,47,16,0,4750.866533,13082.23999,36.6166,36.6166,100,150,1,0.1,10
7,0,6,26,9,1,7034.791722,198.0579205,21.306,42.5314,100,150,1,0.1,10
7,0,6,42,49,1,6391.949464,198.0077769,14.807,36.6166,100,150,1,0.1,10
7,0,6,140,124,1,5823.768282,144.7725725,14.539,36.6166,100,150,1,0.1,10
8,0,6,105,29,0,28044.94571,19263.06819,335.314,335.314,100,150,1,0.1,10
8,0,6,27,130,0,17494.69134,20371.23368,243.6346,243.6346,100,150,1,0.1,10
8,0,6,102,87,1,39180.74011,181.8054352,155.708,364.888,100,150,1,0.1,10
8,0,6,132,27,0,21656.7027,17969.36585,364.888,364.888,100,150,1,0.1,10
8,0,6,24,44,1,13482.32708,154.3471248,43.617,75.0628,100,150,1,0.1,10
9,0,8,36,40,1,7132,180.0644599,13.601,36.6166,100,150,1,0.1,10
9,0,8,39,35,1,7132,178.2134546,10.921,36.6166,100,150,1,0.1,10
9,0,8,110,114,1,6265.005108,164.2170153,11.189,30.7018,100,150,1,0.1,10
9,0,8,7,3,1,4638,190.7675683,10.385,24.787,100,150,1,0.1,10
9,0,8,0,4,1,5477.061712,174.0080584,10.519,27.7444,100,150,1,0.1,10
10,0,8,138,17,1,10208.35972,195.6277653,35.041,57.3184,100,150,1,0.1,10
10,0,8,47,16,0,4750.866533,12930.93056,36.6166,36.6166,100,150,1,0.1,10
10,0,8,26,9,1,7034.791722,168.289577,17.621,42.5314,100,150,1,0.1,10
10,0,8,42,49,1,6391.949464,189.5059754,13.802,36.6166,100,150,1,0.1,10
10,0,8,140,124,1,5823.768282,172.0941246,17.688,36.6166,100,150,1,0.1,10
11,0,8,105,29,0,28044.94571,18453.0817,335.314,335.314,100,150,1,0.1,10
11,0,8,27,130,0,17494.69134,19168.50509,243.6346,243.6346,100,150,1,0.1,10
11,0,8,102,87,1,39180.74011,199.9075641,148.204,364.888,100,150,1,0.1,10
11,0,8,132,27,0,21656.7027,6630.891157,364.888,364.888,100,150,1,0.1,10
11,0,8,24,44,1,13482.32708,182.4094942,42.813,75.0628,100,150,1,0.1,10
0,0,1,36,40,1,7132,179.4826282,13.601,36.6166,100,150,1,0.1,20
0,0,1,39,35,1,7132,190.9851865,11.055,36.6166,100,150,1,0.1,20
0,0,1,110,114,1,6265.005108,137.1640625,12.931,30.7018,100,150,1,0.1,20
0,0,1,7,3,1,4638,173.460823,9.112,24.787,100,150,1,0.1,20
0,0,1,0,4,1,5477.061712,185.559967,11.591,27.7444,100,150,1,0.1,20
1,0,1,138,17,0,10208.35972,2245.079608,57.3184,57.3184,100,150,1,0.1,20
1,0,1,47,16,0,4750.866533,1828.370387,36.6166,36.6166,100,150,1,0.1,20
1,0,1,26,9,1,7034.791722,189.8709667,22.11,42.5314,100,150,1,0.1,20
1,0,1,42,49,0,6391.949464,4820.73728,36.6166,36.6166,100,150,1,0.1,20
1,0,1,140,124,1,5823.768282,187.2736681,18.157,36.6166,100,150,1,0.1,20
2,0,1,105,29,0,28044.94571,17904.06594,335.314,335.314,100,150,1,0.1,20
2,0,1,27,130,1,17494.69134,194.8130883,196.779,243.6346,100,150,1,0.1,20
2,0,1,102,87,0,39180.74011,40363.02187,364.888,364.888,100,150,1,0.1,20
2,0,1,132,27,0,21656.7027,7487.811978,364.888,364.888,100,150,1,0.1,20
2,0,1,24,44,1,13482.32708,177.6230546,44.421,75.0628,100,150,1,0.1,20
3,0,3,36,40,0,7132,5368.368152,36.6166,36.6166,100,150,1,0.1,20
3,0,3,39,35,1,7132,177.9343323,12.797,36.6166,100,150,1,0.1,20
3,0,3,110,114,1,6265.005108,177.1183455,13.333,30.7018,100,150,1,0.1,20
3,0,3,7,3,0,4638,1650.812107,24.787,24.787,100,150,1,0.1,20
3,0,3,0,4,1,5477.061712,196.0485653,11.859,27.7444,100,150,1,0.1,20
4,0,3,138,17,0,10208.35972,1736.613496,57.3184,57.3184,100,150,1,0.1,20
4,0,3,47,16,0,4750.866533,2238.06749,36.6166,36.6166,100,150,1,0.1,20
4,0,3,26,9,1,7034.791722,184.690424,22.244,42.5314,100,150,1,0.1,20
4,0,3,42,49,1,6391.949464,187.1852603,12.462,36.6166,100,150,1,0.1,20
4,0,3,140,124,0,5823.768282,2422.501606,36.6166,36.6166,100,150,1,0.1,20
5,0,3,105,29,0,28044.94571,15481.3311,335.314,335.314,100,150,1,0.1,20
5,0,3,27,130,0,17494.69134,21358.5815,243.6346,243.6346,100,150,1,0.1,20
5,0,3,102,87,0,39180.74011,40439.51846,364.888,364.888,100,150,1,0.1,20
5,0,3,132,27,0,21656.7027,5942.070305,364.888,364.888,100,150,1,0.1,20
5,0,3,24,44,0,13482.32708,10057.9266,75.0628,75.0628,100,150,1,0.1,20
6,0,6,36,40,1,7132,185.0821319,12.596,36.6166,100,150,1,0.1,20
6,0,6,39,35,1,7132,159.4388247,11.658,36.6166,100,150,1,0.1,20
6,0,6,110,114,1,6265.005108,185.3074146,13.869,30.7018,100,150,1,0.1,20
6,0,6,7,3,1,4638,165.0369915,10.184,24.787,100,150,1,0.1,20
6,0,6,0,4,1,5477.061712,189.1889621,11.055,27.7444,100,150,1,0.1,20
7,0,6,138,17,0,10208.35972,1721.098348,57.3184,57.3184,100,150,1,0.1,20
7,0,6,47,16,0,4750.866533,2585.941074,36.6166,36.6166,100,150,1,0.1,20
7,0,6,26,9,1,7034.791722,172.9401876,20.904,42.5314,100,150,1,0.1,20
7,0,6,42,49,0,6391.949464,1822.94218,36.6166,36.6166,100,150,1,0.1,20
7,0,6,140,124,1,5823.768282,175.7969833,18.425,36.6166,100,150,1,0.1,20
8,0,6,105,29,0,28044.94571,16190.81915,335.314,335.314,100,150,1,0.1,20
8,0,6,27,130,0,17494.69134,15480.15226,243.6346,243.6346,100,150,1,0.1,20
8,0,6,102,87,0,39180.74011,39900.93238,364.888,364.888,100,150,1,0.1,20
8,0,6,132,27,0,21656.7027,7118.551052,364.888,364.888,100,150,1,0.1,20
8,0,6,24,44,0,13482.32708,6867.134254,75.0628,75.0628,100,150,1,0.1,20
9,0,8,36,40,1,7132,162.4311201,13.065,36.6166,100,150,1,0.1,20
9,0,8,39,35,1,7132,176.735883,12.596,36.6166,100,150,1,0.1,20
9,0,8,110,114,1,6265.005108,182.8969712,13.869,30.7018,100,150,1,0.1,20
9,0,8,7,3,1,4638,193.1007662,10.117,24.787,100,150,1,0.1,20
9,0,8,0,4,1,5477.061712,169.6279419,11.658,27.7444,100,150,1,0.1,20
