exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,
0,0,1,36,40,1,7132,169.7624937,14.807,36.6166,20,50
0,0,1,39,35,1,7132,167.4063629,10.72,36.6166,20,50
0,0,1,110,114,1,6265.005108,172.7792622,13.534,30.7018,20,50
0,0,1,7,3,1,4638,190.3519018,10.385,24.787,20,50
0,0,1,0,4,1,5477.061712,176.4255622,11.993,27.7444,20,50
0,0,1,68,50,1,26154,196.1798719,42.813,104.6368,20,50
0,0,1,61,59,1,3471,157.4706145,7.504,21.8296,20,50
0,0,1,47,64,1,25835,181.3739275,52.595,104.6368,20,50
0,0,1,147,90,1,18045,174.9248856,36.381,75.0628,20,50
0,0,1,33,87,1,9960.097184,144.6861269,14.338,45.4888,20,50
1,0,1,138,17,1,10208.35972,192.328855,32.629,57.3184,20,50
1,0,1,47,16,1,4750.866533,173.5632057,13.534,36.6166,20,50
1,0,1,26,9,1,7034.791722,170.5908445,21.373,42.5314,20,50
1,0,1,42,49,1,6391.949464,199.2950494,15.946,36.6166,20,50
1,0,1,140,124,1,5823.768282,177.2459609,15.343,36.6166,20,50
1,0,1,85,98,1,5187.104105,147.8753328,11.256,33.6592,20,50
1,0,1,65,133,1,4033.868999,195.8746844,195.707,261.379,20,50
1,0,1,137,51,1,5133.075345,196.7092181,28.207,72.1054,20,50
1,0,1,76,66,1,7811.423686,198.2382248,16.683,45.4888,20,50
1,0,1,46,39,1,7143.2242,190.1509712,19.564,39.574,20,50
2,0,1,105,29,1,28044.94571,184.031129,178.689,335.314,20,50
2,0,1,27,130,1,17494.69134,189.8480909,136.68,243.6346,20,50
2,0,1,102,87,1,39180.74011,162.9706925,160.264,364.888,20,50
2,0,1,132,27,1,21656.7027,190.1013238,207.7,364.888,20,50
2,0,1,24,44,0,13482.32708,641.1378932,75.0628,75.0628,20,50
2,0,1,96,26,1,14826,189.4954985,35.376,63.2332,20,50
2,0,1,34,67,1,38476.3895,185.9313513,139.226,190.4014,20,50
2,0,1,28,1,1,18389.9124,185.7444349,50.585,86.8924,20,50
2,0,1,140,134,1,21063.72327,172.8642872,82.946,104.6368,20,50
2,0,1,105,9,1,25367.98134,179.6459609,158.254,187.444,20,50
3,0,3,36,40,1,7132,198.5351669,14.74,36.6166,20,50
3,0,3,39,35,1,7132,196.1972514,10.72,36.6166,20,50
3,0,3,110,114,1,6265.005108,192.9079172,13.4,30.7018,20,50
3,0,3,7,3,1,4638,194.4819158,10.385,24.787,20,50
3,0,3,0,4,1,5477.061712,198.9474432,11.926,27.7444,20,50
3,0,3,68,50,1,26154,166.4522212,43.483,104.6368,20,50
3,0,3,61,59,1,3471,196.1141398,6.7,21.8296,20,50
