exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,
8,0,6,140,134,0,21063.72327,14219.3743,104.6368,104.6368,20,50
8,0,6,105,9,1,25367.98134,198.1898044,159.661,187.444,20,50
9,0,8,36,40,1,7132,198.5598585,14.74,36.6166,20,50
9,0,8,39,35,1,7132,154.6050007,13.534,36.6166,20,50
9,0,8,110,114,1,6265.005108,194.1504459,15.544,30.7018,20,50
9,0,8,7,3,1,4638,188.1722851,10.452,24.787,20,50
9,0,8,0,4,1,5477.061712,198.3088244,11.859,27.7444,20,50
9,0,8,68,50,1,26154,189.8846388,45.962,104.6368,20,50
9,0,8,61,59,1,3471,181.0573972,6.566,21.8296,20,50
9,0,8,47,64,1,25835,190.4344504,59.094,104.6368,20,50
9,0,8,147,90,1,18045,191.6955653,37.118,75.0628,20,50
9,0,8,33,87,1,9960.097184,160.7722767,14.07,45.4888,20,50
10,0,8,138,17,1,10208.35972,187.1684523,34.974,57.3184,20,50
10,0,8,47,16,1,4750.866533,176.3558185,13.199,36.6166,20,50
10,0,8,26,9,1,7034.791722,191.1499317,23.45,42.5314,20,50
10,0,8,42,49,1,6391.949464,190.5716104,16.013,36.6166,20,50
10,0,8,140,124,1,5823.768282,177.2658832,15.41,36.6166,20,50
10,0,8,85,98,1,5187.104105,177.6267476,13.065,33.6592,20,50
10,0,8,65,133,1,4033.868999,167.2888659,151.621,261.379,20,50
10,0,8,137,51,0,5133.075345,5298.983989,72.1054,72.1054,20,50
10,0,8,76,66,1,7811.423686,189.7673972,17.353,45.4888,20,50
10,0,8,46,39,1,7143.2242,191.3484787,23.584,39.574,20,50
11,0,8,105,29,1,28044.94571,191.7910079,188.337,335.314,20,50
11,0,8,27,130,0,17494.69134,18433.10093,243.6346,243.6346,20,50
11,0,8,102,87,1,39180.74011,188.2601246,144.385,364.888,20,50
11,0,8,132,27,1,21656.7027,195.039342,204.819,364.888,20,50
11,0,8,24,44,1,13482.32708,199.0661134,65.191,75.0628,20,50
11,0,8,96,26,1,14826,193.8524722,33.098,63.2332,20,50
11,0,8,34,67,1,38476.3895,194.4333958,139.628,190.4014,20,50
11,0,8,28,1,1,18389.9124,168.244053,46.699,86.8924,20,50
11,0,8,140,134,0,21063.72327,15105.47107,104.6368,104.6368,20,50
11,0,8,105,9,1,25367.98134,177.5818596,156.78,187.444,20,50
12,0,1,36,40,1,7132,198.0053955,14.74,36.6166,20,50
12,0,1,39,35,1,7132,184.8260476,11.122,36.6166,20,50
12,0,1,110,114,1,6265.005108,186.1215378,20.904,30.7018,20,50
12,0,1,7,3,1,4638,196.7867254,11.658,24.787,20,50
12,0,1,0,4,1,5477.061712,189.6880103,11.859,27.7444,20,50
12,0,1,68,50,1,26154,172.6554904,51.59,104.6368,20,50
12,0,1,61,59,1,3471,169.0536407,8.576,21.8296,20,50
12,0,1,47,64,0,25835,11505.82845,104.6368,104.6368,20,50
12,0,1,147,90,1,18045,187.6139134,36.582,75.0628,20,50
12,0,1,33,87,1,9960.097184,198.2818741,14.07,45.4888,20,50
13,0,1,138,17,1,10208.35972,192.631839,32.964,57.3184,20,50
13,0,1,47,16,1,4750.866533,177.7850459,13.735,36.6166,20,50
13,0,1,26,9,1,7034.791722,198.3914464,22.311,42.5314,20,50
13,0,1,42,49,1,6391.949464,198.6983984,17.487,36.6166,20,50
13,0,1,140,124,0,5823.768282,4265.46173,36.6166,36.6166,20,50
13,0,1,85,98,1,5187.104105,168.1653534,12.663,33.6592,20,50
13,0,1,65,133,0,4033.868999,22945.45273,261.379,261.379,20,50
13,0,1,137,51,1,5133.075345,182.8740493,36.247,72.1054,20,50
13,0,1,76,66,1,7811.423686,181.3061722,32.964,45.4888,20,50
13,0,1,46,39,0,7143.2242,7004.251895,39.574,39.574,20,50
14,0,1,105,29,1,28044.94571,193.6296258,182.24,335.314,20,50
14,0,1,27,130,1,17494.69134,188.53198,183.58,243.6346,20,50
14,0,1,102,87,1,39180.74011,184.6703447,188.002,364.888,20,50
14,0,1,132,27,1,21656.7027,170.9823807,209.308,364.888,20,50
14,0,1,24,44,1,13482.32708,193.3487456,57.754,75.0628,20,50
14,0,1,96,26,1,14826,188.2111116,36.85,63.2332,20,50
14,0,1,34,67,1,38476.3895,192.8459515,145.323,190.4014,20,50
14,0,1,28,1,0,18389.9124,7760.469722,86.8924,86.8924,20,50
14,0,1,140,134,0,21063.72327,3264.827487,104.6368,104.6368,20,50
14,0,1,105,9,1,25367.98134,179.3851529,159.326,187.444,20,50
15,0,3,36,40,1,7132,188.1231188,16.214,36.6166,20,50
15,0,3,39,35,1,7132,177.8023213,10.72,36.6166,20,50
15,0,3,110,114,1,6265.005108,187.9675351,13.4,30.7018,20,50
15,0,3,7,3,1,4638,177.2342219,10.452,24.787,20,50
15,0,3,0,4,1,5477.061712,184.7183674,12.328,27.7444,20,50
15,0,3,68,50,1,26154,196.9764791,48.106,104.6368,20,50
15,0,3,61,59,1,3471,186.9432201,6.7,21.8296,20,50
15,0,3,47,64,1,25835,174.4204862,47.972,104.6368,20,50
15,0,3,147,90,1,18045,189.4173904,42.947,75.0628,20,50
15,0,3,33,87,1,9960.097184,142.0676294,13.802,45.4888,20,50
16,0,3,138,17,1,10208.35972,192.6233267,29.614,57.3184,20,50
16,0,3,47,16,0,4750.866533,7068.008529,36.6166,36.6166,20,50
16,0,3,26,9,1,7034.791722,177.2228078,21.038,42.5314,20,50
