exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,
0,0,1,36,40,1,7132,181.7286828,14.74,36.6166,20,50
0,0,1,39,35,1,7132,174.5575332,10.72,36.6166,20,50
0,0,1,110,114,1,6265.005108,198.7997757,13.4,30.7018,20,50
0,0,1,7,3,1,4638,182.3399799,10.385,24.787,20,50
0,0,1,0,4,1,5477.061712,198.8845106,11.859,27.7444,20,50
0,0,1,68,50,1,26154,184.8708383,42.277,104.6368,20,50
0,0,1,61,59,1,3471,174.8413964,7.37,21.8296,20,50
0,0,1,47,64,0,25835,14030.31956,104.6368,104.6368,20,50
0,0,1,147,90,1,18045,182.2896308,36.582,75.0628,20,50
0,0,1,33,87,1,9960.097184,139.7147489,14.204,45.4888,20,50
1,0,1,138,17,1,10208.35972,185.6394187,32.897,57.3184,20,50
1,0,1,47,16,1,4750.866533,192.1736425,13.199,36.6166,20,50
1,0,1,26,9,1,7034.791722,194.5117478,21.306,42.5314,20,50
1,0,1,42,49,1,6391.949464,199.1568563,17.152,36.6166,20,50
1,0,1,140,124,1,5823.768282,186.7816006,15.41,36.6166,20,50
1,0,1,85,98,1,5187.104105,188.1144536,11.926,33.6592,20,50
1,0,1,65,133,0,4033.868999,4033.916181,261.379,261.379,20,50
1,0,1,137,51,1,5133.075345,171.5761328,32.696,72.1054,20,50
1,0,1,76,66,1,7811.423686,178.1968085,16.415,45.4888,20,50
1,0,1,46,39,0,7143.2242,7143.204254,39.574,39.574,20,50
2,0,1,105,29,1,28044.94571,165.6498856,178.488,335.314,20,50
2,0,1,27,130,1,17494.69134,196.3808362,134.938,243.6346,20,50
2,0,1,102,87,1,39180.74011,196.7864319,141.772,364.888,20,50
2,0,1,132,27,1,21656.7027,179.9398656,202.809,364.888,20,50
2,0,1,24,44,0,13482.32708,13482.32026,75.0628,75.0628,20,50
2,0,1,96,26,1,14826,189.4173936,35.175,63.2332,20,50
2,0,1,34,67,1,38476.3895,199.1036729,144.251,190.4014,20,50
2,0,1,28,1,1,18389.9124,193.6268719,50.585,86.8924,20,50
2,0,1,140,134,1,21063.72327,187.0341435,82.812,104.6368,20,50
2,0,1,105,9,1,25367.98134,184.9708892,158.254,187.444,20,50
3,0,3,36,40,1,7132,194.0864935,14.74,36.6166,20,50
3,0,3,39,35,1,7132,149.4138013,10.787,36.6166,20,50
3,0,3,110,114,1,6265.005108,167.4806612,13.467,30.7018,20,50
3,0,3,7,3,1,4638,191.3186359,10.385,24.787,20,50
3,0,3,0,4,1,5477.061712,167.8768345,11.993,27.7444,20,50
3,0,3,68,50,1,26154,177.2276696,45.091,104.6368,20,50
3,0,3,61,59,1,3471,155.610669,6.767,21.8296,20,50
3,0,3,47,64,1,25835,186.9548314,54.471,104.6368,20,50
3,0,3,147,90,1,18045,175.6454051,36.381,75.0628,20,50
3,0,3,33,87,1,9960.097184,173.9731315,13.802,45.4888,20,50
4,0,3,138,17,1,10208.35972,199.3487719,39.932,57.3184,20,50
4,0,3,47,16,1,4750.866533,189.8688388,13.534,36.6166,20,50
