exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,,,,
0,0,1,36,40,1,7132,153.1535885,12.998,36.6166,100,150,1,0.1,5
0,0,1,39,35,1,7132,171.3003728,11.122,36.6166,100,150,1,0.1,5
0,0,1,110,114,1,6265.005108,191.8398058,12.127,30.7018,100,150,1,0.1,5
0,0,1,7,3,1,4638,177.6984942,10.05,24.787,100,150,1,0.1,5
0,0,1,0,4,1,5477.061712,187.1504826,11.39,27.7444,100,150,1,0.1,5
1,0,1,138,17,1,10208.35972,195.3590705,30.619,57.3184,100,150,1,0.1,5
1,0,1,47,16,1,4750.866533,196.205568,13.467,36.6166,100,150,1,0.1,5
1,0,1,26,9,1,7034.791722,195.7068439,19.698,42.5314,100,150,1,0.1,5
1,0,1,42,49,1,6391.949464,177.7649519,13.802,36.6166,100,150,1,0.1,5
1,0,1,140,124,1,5823.768282,158.3368319,13.668,36.6166,100,150,1,0.1,5
2,0,1,105,29,1,28044.94571,197.4136347,183.245,335.314,100,150,1,0.1,5
2,0,1,27,130,0,17494.69134,5788.433454,243.6346,243.6346,100,150,1,0.1,5
2,0,1,102,87,1,39180.74011,151.3847,139.695,364.888,100,150,1,0.1,5
2,0,1,132,27,0,21656.7027,12064.94665,364.888,364.888,100,150,1,0.1,5
2,0,1,24,44,1,13482.32708,171.2616398,41.205,75.0628,100,150,1,0.1,5
3,0,3,36,40,1,7132,197.1838177,13.735,36.6166,100,150,1,0.1,5
3,0,3,39,35,1,7132,195.2584567,11.055,36.6166,100,150,1,0.1,5
3,0,3,110,114,1,6265.005108,157.2499462,12.73,30.7018,100,150,1,0.1,5
3,0,3,7,3,1,4638,176.8464709,9.983,24.787,100,150,1,0.1,5
3,0,3,0,4,1,5477.061712,178.4999481,10.921,27.7444,100,150,1,0.1,5
4,0,3,138,17,1,10208.35972,178.7497565,25.527,57.3184,100,150,1,0.1,5
4,0,3,47,16,0,4750.866533,1011.481391,36.6166,36.6166,100,150,1,0.1,5
4,0,3,26,9,1,7034.791722,198.9437931,20.837,42.5314,100,150,1,0.1,5
4,0,3,42,49,1,6391.949464,199.9349792,19.966,36.6166,100,150,1,0.1,5
4,0,3,140,124,1,5823.768282,165.8814389,14.07,36.6166,100,150,1,0.1,5
5,0,3,105,29,1,28044.94571,185.8736653,303.51,335.314,100,150,1,0.1,5
5,0,3,27,130,0,17494.69134,19772.06539,243.6346,243.6346,100,150,1,0.1,5
5,0,3,102,87,1,39180.74011,159.9007008,151.956,364.888,100,150,1,0.1,5
5,0,3,132,27,1,21656.7027,199.3899987,193.362,364.888,100,150,1,0.1,5
5,0,3,24,44,0,13482.32708,687.2659729,75.0628,75.0628,100,150,1,0.1,5
6,0,6,36,40,1,7132,184.9034515,13.668,36.6166,100,150,1,0.1,5
6,0,6,39,35,1,7132,165.2268416,12.864,36.6166,100,150,1,0.1,5
