exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,,,,
2,0,1,19,66,0,13725.40311,16601.45693,225.8902,225.8902,100,150,1,0.1,10
2,0,1,79,14,0,14827.70464,14873.48435,181.5292,181.5292,100,150,1,0.1,10
2,0,1,19,57,0,8244.995678,9514.124589,264.3364,264.3364,100,150,1,0.1,10
2,0,1,23,1,0,9135.900163,4194.19944,54.361,54.361,100,150,1,0.1,10
2,0,1,53,76,1,5457.223094,191.9029738,74.169,137.1682,100,150,1,0.1,10
3,0,3,38,34,1,10329.00195,194.744553,24.053,45.4888,100,150,1,0.1,10
3,0,3,4,2,0,983,983.0019532,18.8722,18.8722,100,150,1,0.1,10
3,0,3,12,10,0,7503.281549,7503.283565,36.6166,36.6166,100,150,1,0.1,10
3,0,3,62,55,1,8287.002441,167.5485119,15.946,39.574,100,150,1,0.1,10
3,0,3,43,47,0,7482,10142.34498,36.6166,36.6166,100,150,1,0.1,10
4,0,3,37,76,0,5890.084238,1204.403392,39.574,39.574,100,150,1,0.1,10
4,0,3,8,24,0,5798.451724,5797.848575,36.6166,36.6166,100,150,1,0.1,10
4,0,3,60,69,0,11052.70029,3049.098789,63.2332,63.2332,100,150,1,0.1,10
4,0,3,38,10,1,13017.30293,174.5558214,31.155,63.2332,100,150,1,0.1,10
4,0,3,21,1,0,5547.246278,4072.540704,39.574,39.574,100,150,1,0.1,10
5,0,3,19,66,0,13725.40311,18372.2286,225.8902,225.8902,100,150,1,0.1,10
5,0,3,79,14,0,14827.70464,14827.69293,181.5292,181.5292,100,150,1,0.1,10
5,0,3,19,57,0,8244.995678,9530.682196,264.3364,264.3364,100,150,1,0.1,10
5,0,3,23,1,0,9135.900163,3998.535299,54.361,54.361,100,150,1,0.1,10
5,0,3,53,76,0,5457.223094,5256.833102,137.1682,137.1682,100,150,1,0.1,10
6,0,6,38,34,1,10329.00195,175.6199851,20.502,45.4888,100,150,1,0.1,10
6,0,6,4,2,1,983,169.8226668,4.087,18.8722,100,150,1,0.1,10
6,0,6,12,10,1,7503.281549,184.2414623,21.775,36.6166,100,150,1,0.1,10
6,0,6,62,55,0,8287.002441,1939.663436,39.574,39.574,100,150,1,0.1,10
6,0,6,43,47,1,7482,156.797339,15.209,36.6166,100,150,1,0.1,10
7,0,6,37,76,0,5890.084238,5890.099972,39.574,39.574,100,150,1,0.1,10
7,0,6,8,24,0,5798.451724,2756.309469,36.6166,36.6166,100,150,1,0.1,10
7,0,6,60,69,0,11052.70029,3993.40384,63.2332,63.2332,100,150,1,0.1,10
7,0,6,38,10,1,13017.30293,184.4498333,28.14,63.2332,100,150,1,0.1,10
7,0,6,21,1,1,5547.246278,177.6279336,24.723,39.574,100,150,1,0.1,10
8,0,6,19,66,0,13725.40311,20895.83449,225.8902,225.8902,100,150,1,0.1,10
8,0,6,79,14,0,14827.70464,17094.63186,181.5292,181.5292,100,150,1,0.1,10
8,0,6,19,57,0,8244.995678,11765.5596,264.3364,264.3364,100,150,1,0.1,10
