exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,,,,
2,0,1,19,66,0,13725.40311,17344.18197,225.8902,225.8902,100,150,1,0.1,10
2,0,1,79,14,0,14827.70464,17763.06188,181.5292,181.5292,100,150,1,0.1,10
2,0,1,19,57,0,8244.995678,9514.669703,264.3364,264.3364,100,150,1,0.1,10
2,0,1,23,1,1,9135.900163,190.3569681,25.862,54.361,100,150,1,0.1,10
2,0,1,53,76,1,5457.223094,181.0312551,66.129,137.1682,100,150,1,0.1,10
3,0,3,38,34,1,10329.00195,172.2485898,20.301,45.4888,100,150,1,0.1,10
3,0,3,4,2,0,983,983.0019532,18.8722,18.8722,100,150,1,0.1,10
3,0,3,12,10,0,7503.281549,7503.283565,36.6166,36.6166,100,150,1,0.1,10
3,0,3,62,55,1,8287.002441,194.7974311,14.673,39.574,100,150,1,0.1,10
3,0,3,43,47,1,7482,134.3859325,14.204,36.6166,100,150,1,0.1,10
4,0,3,37,76,0,5890.084238,4972.295085,39.574,39.574,100,150,1,0.1,10
4,0,3,8,24,1,5798.451724,188.3418235,19.698,36.6166,100,150,1,0.1,10
4,0,3,60,69,1,11052.70029,185.1898995,49.111,63.2332,100,150,1,0.1,10
4,0,3,38,10,1,13017.30293,178.6576889,28.14,63.2332,100,150,1,0.1,10
4,0,3,21,1,1,5547.246278,195.0495304,12.797,39.574,100,150,1,0.1,10
5,0,3,19,66,0,13725.40311,16572.87047,225.8902,225.8902,100,150,1,0.1,10
5,0,3,79,14,0,14827.70464,14827.68499,181.5292,181.5292,100,150,1,0.1,10
5,0,3,19,57,0,8244.995678,11872.91696,264.3364,264.3364,100,150,1,0.1,10
5,0,3,23,1,1,9135.900163,183.8907785,25.326,54.361,100,150,1,0.1,10
5,0,3,53,76,0,5457.223094,4804.033551,137.1682,137.1682,100,150,1,0.1,10
6,0,6,38,34,1,10329.00195,189.4501939,25.661,45.4888,100,150,1,0.1,10
6,0,6,4,2,1,983,157.7441837,3.953,18.8722,100,150,1,0.1,10
6,0,6,12,10,1,7503.281549,180.2526754,21.373,36.6166,100,150,1,0.1,10
6,0,6,62,55,1,8287.002441,196.7539096,15.343,39.574,100,150,1,0.1,10
6,0,6,43,47,1,7482,195.7042098,13.735,36.6166,100,150,1,0.1,10
7,0,6,37,76,0,5890.084238,5890.099972,39.574,39.574,100,150,1,0.1,10
7,0,6,8,24,1,5798.451724,197.4801195,32.629,36.6166,100,150,1,0.1,10
7,0,6,60,69,0,11052.70029,2543.190003,63.2332,63.2332,100,150,1,0.1,10
7,0,6,38,10,1,13017.30293,165.9742689,27.001,63.2332,100,150,1,0.1,10
7,0,6,21,1,0,5547.246278,5547.257548,39.574,39.574,100,150,1,0.1,10
8,0,6,19,66,0,13725.40311,20640.82138,225.8902,225.8902,100,150,1,0.1,10
8,0,6,79,14,0,14827.70464,21844.37569,181.5292,181.5292,100,150,1,0.1,10
8,0,6,19,57,0,8244.995678,26022.99876,264.3364,264.3364,100,150,1,0.1,10
8,0,6,23,1,1,9135.900163,186.8347036,26.532,54.361,100,150,1,0.1,10
8,0,6,53,76,0,5457.223094,15347.89133,137.1682,137.1682,100,150,1,0.1,10
9,0,8,38,34,1,10329.00195,170.8165515,31.356,45.4888,100,150,1,0.1,10
9,0,8,4,2,1,983,171.4176367,4.556,18.8722,100,150,1,0.1,10
9,0,8,12,10,0,7503.281549,7503.285548,36.6166,36.6166,100,150,1,0.1,10
9,0,8,62,55,1,8287.002441,186.8699782,15.142,39.574,100,150,1,0.1,10
9,0,8,43,47,1,7482,175.8495425,14.539,36.6166,100,150,1,0.1,10
10,0,8,37,76,1,5890.084238,177.6676679,19.162,39.574,100,150,1,0.1,10
10,0,8,8,24,0,5798.451724,5798.458813,36.6166,36.6166,100,150,1,0.1,10
10,0,8,60,69,1,11052.70029,174.3672831,29.011,63.2332,100,150,1,0.1,10
10,0,8,38,10,0,13017.30293,13017.29329,63.2332,63.2332,100,150,1,0.1,10
10,0,8,21,1,0,5547.246278,4100.820005,39.574,39.574,100,150,1,0.1,10
11,0,8,19,66,1,13725.40311,171.855574,125.424,225.8902,100,150,1,0.1,10
11,0,8,79,14,0,14827.70464,15691.30943,181.5292,181.5292,100,150,1,0.1,10
11,0,8,19,57,1,8244.995678,168.5184386,137.015,264.3364,100,150,1,0.1,10
11,0,8,23,1,1,9135.900163,194.6058382,24.321,54.361,100,150,1,0.1,10
11,0,8,53,76,1,5457.223094,176.7287119,72.494,137.1682,100,150,1,0.1,10
0,0,1,38,34,1,10329.00195,187.2899216,21.239,45.4888,100,150,1,0.1,20
0,0,1,4,2,0,983,983.0019532,18.8722,18.8722,100,150,1,0.1,20
0,0,1,12,10,0,7503.281549,7503.283557,36.6166,36.6166,100,150,1,0.1,20
0,0,1,62,55,1,8287.002441,171.4705282,17.688,39.574,100,150,1,0.1,20
0,0,1,43,47,1,7482,168.0142336,16.415,36.6166,100,150,1,0.1,20
1,0,1,37,76,0,5890.084238,4057.283839,39.574,39.574,100,150,1,0.1,20
1,0,1,8,24,0,5798.451724,4786.633121,36.6166,36.6166,100,150,1,0.1,20
1,0,1,60,69,1,11052.70029,198.0167204,30.686,63.2332,100,150,1,0.1,20
1,0,1,38,10,1,13017.30293,171.0042083,34.371,63.2332,100,150,1,0.1,20
1,0,1,21,1,0,5547.246278,4144.648414,39.574,39.574,100,150,1,0.1,20
2,0,1,19,66,0,13725.40311,16537.56249,225.8902,225.8902,100,150,1,0.1,20
2,0,1,79,14,0,14827.70464,6977.907106,181.5292,181.5292,100,150,1,0.1,20
2,0,1,19,57,0,8244.995678,9345.997401,264.3364,264.3364,100,150,1,0.1,20
2,0,1,23,1,0,9135.900163,3642.608469,54.361,54.361,100,150,1,0.1,20
2,0,1,53,76,0,5457.223094,16693.83406,137.1682,137.1682,100,150,1,0.1,20
3,0,3,38,34,1,10329.00195,188.1480678,22.244,45.4888,100,150,1,0.1,20
3,0,3,4,2,0,983,983.0019532,18.8722,18.8722,100,150,1,0.1,20
3,0,3,12,10,0,7503.281549,7503.283569,36.6166,36.6166,100,150,1,0.1,20
3,0,3,62,55,1,8287.002441,147.2255717,14.807,39.574,100,150,1,0.1,20
3,0,3,43,47,1,7482,192.2637423,13.065,36.6166,100,150,1,0.1,20
4,0,3,37,76,1,5890.084238,199.8307324,24.053,39.574,100,150,1,0.1,20
4,0,3,8,24,0,5798.451724,4649.934067,36.6166,36.6166,100,150,1,0.1,20
4,0,3,60,69,0,11052.70029,2818.151358,63.2332,63.2332,100,150,1,0.1,20
4,0,3,38,10,0,13017.30293,2793.237342,63.2332,63.2332,100,150,1,0.1,20
4,0,3,21,1,0,5547.246278,2559.616517,39.574,39.574,100,150,1,0.1,20
5,0,3,19,66,0,13725.40311,16639.87279,225.8902,225.8902,100,150,1,0.1,20
5,0,3,79,14,0,14827.70464,14827.69091,181.5292,181.5292,100,150,1,0.1,20
5,0,3,19,57,0,8244.995678,11888.48314,264.3364,264.3364,100,150,1,0.1,20
5,0,3,23,1,0,9135.900163,3763.271408,54.361,54.361,100,150,1,0.1,20
5,0,3,53,76,0,5457.223094,14157.38141,137.1682,137.1682,100,150,1,0.1,20
6,0,6,38,34,0,10329.00195,5547.062149,45.4888,45.4888,100,150,1,0.1,20
6,0,6,4,2,1,983,173.7890779,3.886,18.8722,100,150,1,0.1,20
6,0,6,12,10,1,7503.281549,168.8492557,23.517,36.6166,100,150,1,0.1,20
6,0,6,62,55,1,8287.002441,181.9538281,15.343,39.574,100,150,1,0.1,20
6,0,6,43,47,1,7482,197.6337597,17.621,36.6166,100,150,1,0.1,20
