exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,
0,0,1,38,34,1,10329.00195,175.0622582,30.217,45.4888,20,50
0,0,1,4,2,1,983,184.9335699,4.891,18.8722,20,50
0,0,1,12,10,1,7503.281549,187.9920851,27.872,36.6166,20,50
0,0,1,62,55,1,8287.002441,197.3549543,17.018,39.574,20,50
0,0,1,43,47,1,7482,170.511724,15.075,36.6166,20,50
0,0,1,64,66,1,4218.001953,173.1178363,13.132,24.787,20,50
0,0,1,78,76,0,4121,1878.607266,30.7018,30.7018,20,50
0,0,1,59,57,1,2988.001953,174.4074164,7.705,21.8296,20,50
0,0,1,61,18,1,11579,190.3970666,32.361,54.361,20,50
0,0,1,35,39,1,1559,173.4184368,6.03,15.9148,20,50
1,0,1,37,76,0,5890.084238,1130.236071,39.574,39.574,20,50
1,0,1,8,24,1,5798.451724,187.9791296,21.172,36.6166,20,50
1,0,1,60,69,1,11052.70029,171.3077796,42.009,63.2332,20,50
1,0,1,38,10,1,13017.30293,194.4354684,31.624,63.2332,20,50
1,0,1,21,1,1,5547.246278,194.6409858,15.142,39.574,20,50
1,0,1,58,71,1,14392.71202,170.9182105,50.853,78.0202,20,50
1,0,1,74,32,1,3986.474758,192.7629481,15.678,33.6592,20,50
1,0,1,44,0,1,5966.615201,199.9631343,16.147,39.574,20,50
1,0,1,71,16,0,3635.097228,1742.917433,33.6592,33.6592,20,50
1,0,1,14,24,1,9243.393276,173.5803347,32.227,51.4036,20,50
2,0,1,19,66,0,13725.40311,20882.74746,225.8902,225.8902,20,50
2,0,1,79,14,0,14827.70464,14565.54247,181.5292,181.5292,20,50
2,0,1,19,57,1,8244.995678,181.8006838,156.713,264.3364,20,50
2,0,1,23,1,1,9135.900163,187.1971109,31.423,54.361,20,50
2,0,1,53,76,0,5457.223094,14643.74139,137.1682,137.1682,20,50
2,0,1,42,13,1,5522.653478,173.353091,65.66,95.7646,20,50
2,0,1,31,71,0,8946.938971,21009.2753,231.805,231.805,20,50
2,0,1,33,5,0,7886.740098,3288.358479,48.4462,48.4462,20,50
2,0,1,54,30,1,14039.95209,194.2126438,88.775,131.2534,20,50
2,0,1,10,61,0,8738.092755,6046.91293,148.9978,148.9978,20,50
3,0,3,38,34,1,10329.00195,189.510395,23.919,45.4888,20,50
3,0,3,4,2,1,983,178.4762206,4.69,18.8722,20,50
3,0,3,12,10,0,7503.281549,3727.767035,36.6166,36.6166,20,50
3,0,3,62,55,1,8287.002441,181.8857705,20.167,39.574,20,50
3,0,3,43,47,1,7482,190.8986999,12.596,36.6166,20,50
3,0,3,64,66,1,4218.001953,184.9988381,12.395,24.787,20,50
3,0,3,78,76,1,4121,179.0015399,11.457,30.7018,20,50
3,0,3,59,57,0,2988.001953,244.5000811,21.8296,21.8296,20,50
3,0,3,61,18,1,11579,172.9040254,25.259,54.361,20,50
3,0,3,35,39,1,1559,180.6554345,5.963,15.9148,20,50
4,0,3,37,76,0,5890.084238,5254.005054,39.574,39.574,20,50
4,0,3,8,24,1,5798.451724,174.3079007,19.095,36.6166,20,50
4,0,3,60,69,1,11052.70029,168.5462468,31.959,63.2332,20,50
4,0,3,38,10,0,13017.30293,1150.596288,63.2332,63.2332,20,50
4,0,3,21,1,1,5547.246278,182.3638731,17.085,39.574,20,50
4,0,3,58,71,1,14392.71202,195.1110552,33.165,78.0202,20,50
4,0,3,74,32,0,3986.474758,3986.485457,33.6592,33.6592,20,50
4,0,3,44,0,0,5966.615201,4302.102473,39.574,39.574,20,50
4,0,3,71,16,1,3635.097228,190.866171,10.787,33.6592,20,50
4,0,3,14,24,1,9243.393276,198.5211971,30.15,51.4036,20,50
5,0,3,19,66,0,13725.40311,15126.93864,225.8902,225.8902,20,50
5,0,3,79,14,0,14827.70464,4665.001704,181.5292,181.5292,20,50
5,0,3,19,57,0,8244.995678,12315.02126,264.3364,264.3364,20,50
5,0,3,23,1,1,9135.900163,197.5859811,24.723,54.361,20,50
5,0,3,53,76,0,5457.223094,3676.350252,137.1682,137.1682,20,50
5,0,3,42,13,1,5522.653478,197.6490111,65.526,95.7646,20,50
5,0,3,31,71,0,8946.938971,20964.52489,231.805,231.805,20,50
5,0,3,33,5,0,7886.740098,8556.59956,48.4462,48.4462,20,50
5,0,3,54,30,1,14039.95209,182.1952085,85.894,131.2534,20,50
5,0,3,10,61,0,8738.092755,8738.087269,148.9978,148.9978,20,50
6,0,6,38,34,0,10329.00195,5559.159352,45.4888,45.4888,20,50
6,0,6,4,2,1,983,179.1196415,4.489,18.8722,20,50
6,0,6,12,10,1,7503.281549,174.8944971,21.306,36.6166,20,50
6,0,6,62,55,1,8287.002441,198.5982318,19.095,39.574,20,50
6,0,6,43,47,1,7482,198.1276837,19.497,36.6166,20,50
6,0,6,64,66,1,4218.001953,194.3822231,9.849,24.787,20,50
6,0,6,78,76,1,4121,182.4855517,10.586,30.7018,20,50
6,0,6,59,57,1,2988.001953,198.3156574,10.653,21.8296,20,50
6,0,6,61,18,1,11579,178.922965,25.393,54.361,20,50
6,0,6,35,39,1,1559,176.7031806,6.03,15.9148,20,50
7,0,6,37,76,0,5890.084238,5205.985615,39.574,39.574,20,50
7,0,6,8,24,0,5798.451724,2827.778263,36.6166,36.6166,20,50
7,0,6,60,69,1,11052.70029,167.6453542,33.835,63.2332,20,50
7,0,6,38,10,1,13017.30293,176.6198142,62.913,63.2332,20,50
7,0,6,21,1,0,5547.246278,3086.403167,39.574,39.574,20,50
7,0,6,58,71,1,14392.71202,174.2949488,40.334,78.0202,20,50
7,0,6,74,32,0,3986.474758,2573.262657,33.6592,33.6592,20,50
